"									     Title", Technology Broad Category, Technology Mid-Type, Technology Sub-Type,Status,Description,Rated Power,Latitude,Longitude,Image,Service / Use Cases,City,State,Country,Announced, Commissioned, Constructed, Decommissioned,isoRto,Utility,Utility Type,Grid Interconnection,Paired Grid Resource,Developer,Projected Project Lifetime (Years),Performance, Capital Expenditure,Operating Expense,Research Institution,Research Description,Last Updated,Black Start,Demand Response,Distribution upgrade due to solar,Distribution upgrade due to wind,Electric Bill Management,Electric Bill Management with Renewables,Electric Energy Time Shift,Electric Supply Capacity,Electric Supply Reserve Capacity - Non-Spinning,Electric Supply Reserve Capacity - Spinning,Frequency Regulation,Grid-Connected Commercial (Reliability & Quality),Grid-Connected Residential (Reliability),Load Following (Tertiary Balancing),Microgrid Capability,On-Site Power,Onsite Renewable Generation Shifting,Ramping,Renewables Capacity Firming,Renewables Energy Time Shift,Resiliency,Stationary Transmission/Distribution Upgrade Deferral,Transmission Congestion Relief,Transmission Support,Transmission upgrades due to solar,Transmission upgrades due to wind,Transportable Transmission/Distribution Upgrade Deferral,Transportation Services,Voltage Support
Blue Solutions - Bluezone Niamey 70kWc Solar Power Plant,Lithium Ion Battery,Lithium Polymer Battery,Lithium Polymer Battery,Operational,"&lt;p&gt;MiniGrid that provides electricity, Wifi and drinking water for a &quot;BlueZone&quot; where economical, social and cultural interactions can happen. 70kWc solar power plant combined with 180kWh LMP batteries and a diesel backup generator. Optimization of the whole components performed by Blue Solutions.&lt;/p&gt;",45,13.2959909,2.813534,,"Microgrid Capability, On-Site Power, Onsite Renewable Generation Shifting, Renewables Energy Time Shift, ",Niamey,,Niger,,04.07.2015,,,,,Investor Owned,Transmission,"Solar PV, diesel generator",www.blue-solutions.com,25,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Blue Solutions - Bluezone Cotonou 140kWc Solar Power Plant,Lithium Ion Battery,Lithium Polymer Battery,Lithium Polymer Battery,Operational,"&lt;p&gt;MiniGrid that provides electricity, Wifi and drinking water for a &quot;BlueZone&quot; where economical, social and cultural interactions can happen. 140kWc solar power plant combined with 360kWh LMP batteries and a diesel backup generator. Optimization of the whole components performed by Blue Solutions.&lt;/p&gt;",90,6.212344,2.2531969,,"Microgrid Capability, On-Site Power, Onsite Renewable Generation Shifting, Renewables Energy Time Shift, ",Cotonou,,Benin,,06.04.2015,,,,,Investor Owned,Transmission,"Solar PV, diesel generator",www.blue-solutions.com,25,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Blue Solutions - Bluezone Yataya 35kWc Solar Power Plant,Lithium Ion Battery,Lithium Polymer Battery,Lithium Polymer Battery,Operational,"&lt;p&gt;MiniGrid that provides electricity, Wifi and drinking water for a &quot;BlueZone&quot; where economical, social and cultural interactions can happen. 35kWc solar power plant combined with 90kWh LMP batteries and a diesel backup generator. Optimization of the whole components performed by Blue Solutions.&lt;/p&gt;",20,9.3927878,-13.3551694,,"Microgrid Capability, On-Site Power, Onsite Renewable Generation Shifting, Renewables Energy Time Shift, ",Conakry,,Guinea,,10.01.2015,,,,,Investor Owned,Transmission,"Solar PV, diesel generator",www.blue-solutions.com,25,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blue Solutions - Bluezone Kagbelen 35kWc Solar Power Plant,Lithium Ion Battery,Lithium Polymer Battery,Lithium Polymer Battery,Operational,"&lt;p&gt;MiniGrid that provides electricity, Wifi and drinking water for a &quot;BlueZone&quot; where economical, social and cultural interactions can happen. 35kWc solar power plant combined with 90kWh LMP batteries and a diesel backup generator. Optimization of the whole components performed by Blue Solutions.&lt;/p&gt;",20,9.403868,-13.3450749,,"Microgrid Capability, On-Site Power, Onsite Renewable Generation Shifting, Renewables Energy Time Shift, ",Conakry,,Guinea,,10.01.2015,,,,,Investor Owned,Transmission,"Solar PV, diesel generator",www.blue-solutions.com,25,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blue Solutions - Bluezone Sonfonia 35kWc Solar Power Plant,Lithium Ion Battery,Lithium Polymer Battery,Lithium Polymer Battery,Operational,"&lt;p&gt;MiniGrid that provides electricity, Wifi and drinking water for a &quot;BlueZone&quot; where economical, social and cultural interactions can happen. 35kWc solar power plant combined with 90kWh LMP batteries and a diesel backup generator. Optimization of the whole components performed by Blue Solutions.&lt;/p&gt;",20,9.403868,-13.3450749,,"Microgrid Capability, On-Site Power, Onsite Renewable Generation Shifting, Renewables Energy Time Shift, ",Conakry,,Guinea,,10.01.2015,,,,,Investor Owned,Transmission,"Solar PV, diesel generator",https://blue-storage.com/,25,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Blue Solutions - Bluezone Dixxin 140kWc Solar Power Plant,Lithium Ion Battery,Lithium Polymer Battery,Lithium Polymer Battery,Operational,"&lt;p&gt;MiniGrid that provides electricity, Wifi and drinking water for a &quot;BlueZone&quot; where economical, social and cultural interactions can happen. 140kWc solar power plant combined with 360kWh LMP batteries and a diesel backup generator. Optimization of the whole components performed by Blue Solutions.&lt;/p&gt;",90,9.338953,-13.3929746,,"Microgrid Capability, On-Site Power, Onsite Renewable Generation Shifting, Renewables Energy Time Shift, ",Conakry,,Guinea,,9.30.2015,,,,,Investor Owned,Transmission,"Solar PV, diesel generator",https://blue-storage.com/,25,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blue Solutions - Bluezone Kaloum 140kWc Solar Power Plant,Lithium Ion Battery,Lithium Polymer Battery,Lithium Polymer Battery,Operational,"&lt;p&gt;MiniGrid that provides electricity, Wifi and drinking water for a &quot;BlueZone&quot; where economical, social and cultural interactions can happen. 140kWc solar power plant combined with 360kWh LMP batteries and a diesel backup generator. Optimization of the whole components performed by Blue Solutions.&lt;/p&gt;",90,9.517125,-13.4226917,,"Microgrid Capability, On-Site Power, Onsite Renewable Generation Shifting, Renewables Energy Time Shift, ",Conakry,,Guinea,,6.12.2014,,,,,Investor Owned,Transmission,"Solar PV, diesel generator",https://blue-storage.com/,25,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Autonomous Lithium Ion Battery shelter – Tanzania,Lithium Ion Battery,Lithium Polymer Battery,Lithium Polymer Battery,Operational,&lt;p&gt;Offgrid unit that charges thanks to solar panels during the day and can provide electricity to local communities at night.&lt;/p&gt;,50,-1.32,31.9,,"Microgrid Capability, On-Site Power, Onsite Renewable Generation Shifting, Renewables Energy Time Shift, ",Kagera,,Tanzania,,,,,,,Investor Owned,Transmission,Solar PV,https://blue-storage.com/,25,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Vistra Moss Landing Energy Storage,Lithium Ion Battery,Lithium-ion Battery,Lithium-ion Battery,Announced,"&lt;p&gt;Vistra Energy (NYSE: VST) today announced that, subject to approval by the California Public Utilities Commission (CPUC), the company will enter into a 20-year resource adequacy contract with Pacific Gas and Electric Company (PG&amp;amp;E). Under the contract, Vistra will develop a 300-megawatt/1,200-megawatt hour, battery energy storage project at its Moss Landing Power Plant site in Moss Landing, California. On Friday, June 29, PG&amp;amp;E filed its application with the CPUC to approve the contract, with a decision expected within 90 days.Pending the receipt of CPUC approval, Vistra anticipates the battery storage project will enter commercial operations by the fourth quarter of 2020.&lt;/p&gt;
&lt;p&gt;Investment underpinned by a 20-year resource adequacy contract with PG&amp;amp;E, an investment grade offtaker.&lt;/p&gt;
&lt;p&gt;Vistra retains energy and ancillary services value.&lt;/p&gt;
&lt;p&gt;Attractive development and construction costs with returns consistent with Vistra&#039;s investment criteria.&lt;/p&gt;
&lt;p&gt;Will use the existing interconnection from the mothballed Moss Landing units 6 and 7.&lt;/p&gt;
&lt;p&gt;Will use an existing turbine building on the site to house the batteries.&lt;/p&gt;
&lt;p&gt;Vistra estimates the project will convert more than 95 percent of its adjusted EBITDA to adjusted free cash flow.&lt;/p&gt;",300000,36.829514,-121.779089,,"Grid-Connected Commercial (Reliability &amp; Quality), On-Site Power, ",Moss Landing ,California,United States ,06.29.2018,,,,,California Public Utilities Commission ,Investor Owned,Transmission,,,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0
Crimson Energy Storage,Lithium Ion Battery,Lithium-ion Battery,Lithium-ion Battery,Announced,"&lt;p&gt;The Project could include, at the Applicants’ option, a battery or flywheel storage system capable of storing up to 450 MW of electricity. If provided, the storage system would consist of battery or flywheel banks housed in electrical enclosures and buried electrical conduit. The battery system would either be concentrated near the Project substations or dispersed throughout the Solar Facility site. Up to 3,000 electrical enclosures measuring 40 feet by 8 feet by 8.5 feet high would be installed on concrete foundations designed for secondary containment, representing up to 12 acres of impervious surface area. The Project could use any commercially available battery technology, including but not limited to lithium ion, lead acid, sodium sulfur and sodium or nickel hydride. Battery systems are operationally silent, and flywheel systems have a noise rating of 45 dBA. Duration to be determined.&lt;/p&gt;",450000,34.9664,-115.8058,,"Grid-Connected Commercial (Reliability &amp; Quality), Grid-Connected Residential (Reliability), Renewables Capacity Firming, Resiliency, ",Kern County ,California,United States ,01.01.16,,,,,California Public Utilities Commission ,Public Owned,Transmission,,,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Angas A-CAES (Advanced Compressed Air Energy Storage) Project – Hydrostor,Compressed Air Energy Storage,Compressed Air Energy Storage,Compressed Air Energy Storage,Under Construction,"&lt;p&gt;The Angas A-CAES Project, located near Strathalbyn, South Australia, is Australia’s first Advanced Compressed Air Energy Storage (A-CAES) Facility. The project utilizes Hydrostor’s emissions-free, long duration energy storage technology, and is sited at a mine 50 km southeast of Adelaide—the Angas Zinc Mine, currently in care and maintenance. By selecting this site, the project will repurpose existing underground mining infrastructure as the A-CAES system’s sub-surface air storage cavern, benefiting both the electricity grid in South Australia and the local community by converting an unused brownfield site into a clean energy project that drives economic development. The 5 MW/10 MWh facility will be dispatched into Australia’s National Electricity Market (“NEM”) to provide synchronous inertia, load shifting, frequency regulation, and support grid services and reliability. It will also enable the integration of variable renewable energy resources, such as solar and wind. The project has been awarded a combined total of $9 million of grant funding from the Australian Renewable Energy Agency (ARENA) and the Government of South Australia Renewable Technology Fund and is expected to be in service in 2020.&lt;/p&gt;",5000,-35.251,138.916,,"Demand Response, Electric Energy Time Shift, Electric Supply Capacity, Electric Supply Reserve Capacity - Spinning, Renewables Capacity Firming, Renewables Energy Time Shift, Resiliency, Voltage Support, ",Strathalbyn,South Australia,Australia,,,,,AEMO,,Investor Owned,Transmission,,Hydrostor,30,,0,0,,,,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
Goderich A-CAES (Advanced Compressed Air Energy Storage) Commercial Demonstration Facility – Hydrostor,Compressed Air Energy Storage,Compressed Air Energy Storage,Compressed Air Energy Storage,Contracted,"&lt;p&gt;The Goderich A-CAES Facility is a commercial energy storage plant, located in Goderich, Ontario, Canada which utilizes Hydrostor’s proprietary Advanced Compressed Air Energy Storage (A-CAES) technology, a long-duration, emissions-free energy storage solution. The facility is contracted by Ontario’s Independent Electricity System Operator (IESO) for peaking capacity, ancillary services, and full participation in the merchant energy market. The 1.75 MW peak output, 2.20 MW charge rating, and up to 15 MWh storage capacity plant (contracted to 7 MWh) is a utility-scale commercial application of the technology and the largest fuel-free (adiabatic) CAES system in the world, conforming to all interconnection, uptime, performance and dispatch requirements / standards as set out by the IESO. The project proves the ability of Hydrostor’s A-CAES technology to participate in an advanced electricity market and to provide a range of grid services. With it Hydrostor operates the world’s first two fuel-free (adiabatic) A-CAES systems.&lt;/p&gt;",1750,43.732,-81.6905,,"Electric Energy Time Shift, Electric Supply Capacity, Renewables Capacity Firming, Renewables Energy Time Shift, ",Goderich,Ontario,Canada,,,,,IESO,,Investor Owned,Transmission,,Hydrostor,30,,0,0,,,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Toronto A-CAES (Advanced Compressed Air Energy Storage) Technical Demonstration Facility – Hydrostor,Compressed Air Energy Storage,Compressed Air Energy Storage,Compressed Air Energy Storage,Operational,"&lt;p&gt;Hydrostor’s A-CAES (Advanced Compressed Air Energy Storage) technology, a long-duration, emissions-free energy storage solution, has been successfully deployed in Toronto, Canada as a technical demonstration and R&amp;amp;D project in partnership with utility host Toronto Hydro. With the completion of the Toronto A-CAES Facility in 2015, Hydrostor developed the world’s first, grid connected adiabatic-CAES facility. The project has been in service and operational since November 2015, with an installed capacity of 660 kW, 1 MWh. The project successfully demonstrated A-CAES performance in a grid-connected environment and provides an ongoing testbed, with a potential long-term role as reserve power for Toronto Island. The project was supported by the Government of Canada’s Sustainable Development Technology Canada Fund and connected to the grid by Toronto Hydro. The facility demonstrated A-CAES’ ability to play a significant role in the long-duration energy storage market globally.&lt;/p&gt;",660,43.613,-79.381,,"Electric Energy Time Shift, ",Toronto,Ontario,Canada,,,,,IESO,,Investor Owned,Transmission,,Hydrostor,30,,0,0,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canyon Creek Pumped Hydro Energy Storage Project,Pumped Hydro Storage,Closed-loop Pumped Hydro Storage,Closed-loop Pumped Hydro Storage,Announced,"&lt;p&gt;Canyon Creek is Alberta&#039;s first ever Pumped Hydro Energy Storage project to receive approval from the Alberta Utilities Commission and the Alberta Legislature. It is designed to be closed loop, off-stream energy storage. In its first Phase (currently approved) it will provide 75MW for up to 37 hours of storage. It can be expanded within the same footprint to 400MW for about 7hrs of storage. It is envisioned to be on-line in mid 2021.&lt;/p&gt;",75000,53.509661,-117.422649,,"Electric Energy Time Shift, Electric Supply Capacity, Electric Supply Reserve Capacity - Spinning, Electric Supply Reserve Capacity - Non-Spinning, Load Following (Tertiary Balancing), Renewables Capacity Firming, ",Hinton,Alberta,Canada,2/3/16,,,,AESO,Altalink,Investor Owned,Transmission,Grid,Turning Point Generation,50,,0,0,,,3/22/19,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Burbank Central Library #3 - Ice Energy,Thermal Storage,Ice Thermal Storage,Ice Thermal Storage,Operational,"Ice Energy’s flagship Ice Bear system enables a powerful change in how – and more importantly when – energy is consumed for air conditioning. The Ice Bear system is an intelligent distributed energy storage solution that works in conjunction with commercial direct-expansion (DX) air-conditioning systems, specifically the refrigerant-based, 4-20-ton packaged rooftop systems common to most small to mid-sized commercial buildings. The system stores energy at night, when electricity generation is cleaner, more efficient and less expensive, and delivers that energy during the peak of the day to provide cooling to the building. Daytime energy demand from air conditioning – typically 40-50% of a building’s electricity use during peak daytime hours – can be reduced significantly. In kilowatts, each Ice Bear delivers an average reduction of 12 kW of source equivalent peak demand for a minimum of 6 hours daily, shifting 72 kW-hours of on-peak energy to off-peak hours. Ice Bear units are typically owned by utilities and installed at distributed locations behind the customer meter on commercial and industrial sites. When aggregated and deployed at scale, a typical utility deployment will shift the operation of thousands of commercial AC condensing units from on-peak periods to off-peak periods, reducing electric system demand, improving electric system load factor, reducing electric system costs, and improving overall electric system efficiency and power quality.",8,34.1832126,-118.31,,"Electric Bill Management, Electric Supply Capacity, ",Burbank,California,United States,02.03.2015,,,,N/A,Burbank Water &amp; Power,Public Owned,,,Ice Energy,0,N/A,0,0,,,,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burbank Central Library #2 - Ice Energy,Thermal Storage,Ice Thermal Storage,Ice Thermal Storage,Operational,"Ice Energy’s flagship Ice Bear system enables a powerful change in how – and more importantly when – energy is consumed for air conditioning. The Ice Bear system is an intelligent distributed energy storage solution that works in conjunction with commercial direct-expansion (DX) air-conditioning systems, specifically the refrigerant-based, 4-20-ton packaged rooftop systems common to most small to mid-sized commercial buildings. The system stores energy at night, when electricity generation is cleaner, more efficient and less expensive, and delivers that energy during the peak of the day to provide cooling to the building. Daytime energy demand from air conditioning – typically 40-50% of a building’s electricity use during peak daytime hours – can be reduced significantly. In kilowatts, each Ice Bear delivers an average reduction of 12 kW of source equivalent peak demand for a minimum of 6 hours daily, shifting 72 kW-hours of on-peak energy to off-peak hours. Ice Bear units are typically owned by utilities and installed at distributed locations behind the customer meter on commercial and industrial sites. When aggregated and deployed at scale, a typical utility deployment will shift the operation of thousands of commercial AC condensing units from on-peak periods to off-peak periods, reducing electric system demand, improving electric system load factor, reducing electric system costs, and improving overall electric system efficiency and power quality.",8,34.1832126,-118.31,,"Electric Bill Management, Electric Supply Capacity, ",Burbank,California,United States,02.03.2015,,,,N/A,Burbank Water &amp; Power,Public Owned,,,Ice Energy,0,N/A,0,0,,,,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colony Theater #4 - Ice Energy,Thermal Storage,Ice Thermal Storage,Ice Thermal Storage,Operational,"Ice Energy’s flagship Ice Bear system enables a powerful change in how – and more importantly when – energy is consumed for air conditioning. The Ice Bear system is an intelligent distributed energy storage solution that works in conjunction with commercial direct-expansion (DX) air-conditioning systems, specifically the refrigerant-based, 4-20-ton packaged rooftop systems common to most small to mid-sized commercial buildings. The system stores energy at night, when electricity generation is cleaner, more efficient and less expensive, and delivers that energy during the peak of the day to provide cooling to the building. Daytime energy demand from air conditioning – typically 40-50% of a building’s electricity use during peak daytime hours – can be reduced significantly. In kilowatts, each Ice Bear delivers an average reduction of 12 kW of source equivalent peak demand for a minimum of 6 hours daily, shifting 72 kW-hours of on-peak energy to off-peak hours. Ice Bear units are typically owned by utilities and installed at distributed locations behind the customer meter on commercial and industrial sites. When aggregated and deployed at scale, a typical utility deployment will shift the operation of thousands of commercial AC condensing units from on-peak periods to off-peak periods, reducing electric system demand, improving electric system load factor, reducing electric system costs, and improving overall electric system efficiency and power quality.",8,34.185223,-118.31,,"Electric Bill Management, Electric Supply Capacity, ",Burbank,California,United States,02.03.2015,,,,N/A,Burbank Water &amp; Power,Public Owned,,,Ice Energy,0,N/A,0,0,,,,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colony Theater #3 - Ice Energy,Thermal Storage,Ice Thermal Storage,Ice Thermal Storage,Operational,"Ice Energy’s flagship Ice Bear system enables a powerful change in how – and more importantly when – energy is consumed for air conditioning. The Ice Bear system is an intelligent distributed energy storage solution that works in conjunction with commercial direct-expansion (DX) air-conditioning systems, specifically the refrigerant-based, 4-20-ton packaged rooftop systems common to most small to mid-sized commercial buildings. The system stores energy at night, when electricity generation is cleaner, more efficient and less expensive, and delivers that energy during the peak of the day to provide cooling to the building. Daytime energy demand from air conditioning – typically 40-50% of a building’s electricity use during peak daytime hours – can be reduced significantly. In kilowatts, each Ice Bear delivers an average reduction of 12 kW of source equivalent peak demand for a minimum of 6 hours daily, shifting 72 kW-hours of on-peak energy to off-peak hours. Ice Bear units are typically owned by utilities and installed at distributed locations behind the customer meter on commercial and industrial sites. When aggregated and deployed at scale, a typical utility deployment will shift the operation of thousands of commercial AC condensing units from on-peak periods to off-peak periods, reducing electric system demand, improving electric system load factor, reducing electric system costs, and improving overall electric system efficiency and power quality.",8,34.185223,-118.31,,"Electric Bill Management, Electric Supply Capacity, ",Burbank,California,United States,02.03.2015,,,,N/A,Burbank Water &amp; Power,Public Owned,,,Ice Energy,0,N/A,0,0,,,,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
